tweetDate,userId,userName,tweetId,tweetText,retweetedTweet,quotedTweet,hashtag,replyCount,retweetCount,likeCount,viewCount
2021-11-10 15:14:49+00:00,27260086,justinbieber,1458453097655775239,Love you my brother @Usher https://t.co/wZPcTC68h1,,,,1194,5850,56829,
2021-11-09 19:10:14+00:00,27260086,justinbieber,1458149951356166154,Thanks @DaveChappelle for having me the other night in Minneapolis ❤️ what a night https://t.co/PrgUD9wJCA,,,,735,3698,30871,
2021-11-09 18:13:33+00:00,27260086,justinbieber,1458135688852000775,"#BieberWAVE 11/18/21 6pm PT
Sign up at @TheWaveXR. Sign up: https://t.co/8KNStRidql
https://t.co/3KxnV31VCo",,,['BieberWAVE'],698,2774,12419,
2021-11-09 01:32:30+00:00,27260086,justinbieber,1457883765104160769,This is my brother @DevoTaylorDrums. You such an amazing person! You inspire me everyday! https://t.co/TKt2Wrzjf8,,,,625,2878,22438,
2021-11-09 01:30:21+00:00,27260086,justinbieber,1457883224336703488,📷: @RoryKramer https://t.co/2L3ZVXSiZN,,,,630,4364,33764,
2021-11-08 23:58:12+00:00,27260086,justinbieber,1457860032033443844,📷: @RoryKramer https://t.co/bJ3AQckkRI,,,,206,1746,10491,
2021-11-08 23:58:11+00:00,27260086,justinbieber,1457860028195606528,📷: @RoryKramer https://t.co/FExH93e6XH,,,,730,4282,28509,
2021-11-05 18:30:45+00:00,27260086,justinbieber,1456690465890312200,📷: @RoryKramer https://t.co/plMv0ThFuG,,,,232,2292,15240,
2021-11-05 18:30:44+00:00,27260086,justinbieber,1456690462253801475,📷: @RoryKramer https://t.co/wHEbQbzXgT,,,,1075,5798,40234,
2021-11-04 15:43:19+00:00,27260086,justinbieber,1456285939853139969,📷: @RoryKramer https://t.co/GW9aUnNsAq,,,,324,3014,19334,
2021-11-04 15:43:18+00:00,27260086,justinbieber,1456285936195620864,📷: @RoryKramer https://t.co/xk5IDZG7fA,,,,1529,6312,45624,
2021-11-03 16:02:35+00:00,27260086,justinbieber,1455928403870339074,📷: @rorykramer https://t.co/WgnXzPMXWK,,,,347,3342,21556,
2021-11-03 16:02:35+00:00,27260086,justinbieber,1455928400103759885,📷: @rorykramer https://t.co/HMeQfAcfks,,,,1935,9297,57366,
2021-11-02 01:18:53+00:00,27260086,justinbieber,1455343622510030850,Check out the podcast on marriage Hailey and I did with @judahsmith and @chelseasmith: https://t.co/TTX3WVcF5E https://t.co/71G6dShj74,,,,705,2862,15497,
2021-10-29 04:05:33+00:00,27260086,justinbieber,1453936017149288459,"🎄Rockin' Around the Christmas Tree Out Now:
https://t.co/0MiR7io2mh",,,,1397,5314,24092,
2021-10-11 23:11:24+00:00,27260086,justinbieber,1447701395751198722,🇸🇦🇸🇦🇸🇦🇸🇦https://t.co/fEgSQPKnov https://t.co/fPt4x4fnG9,,,,2370,5378,42370,
2021-10-09 19:58:09+00:00,27260086,justinbieber,1446927989531451392,"Vegas, can't wait see you tonight at 1am.",,,,1906,4646,49931,
2021-10-08 17:06:53+00:00,27260086,justinbieber,1446522500599488541,👻👻👻👻👻👻👻 https://t.co/YS5pmiEtOa https://t.co/feHhoXZBWa,,,,1294,4218,29971,
2021-10-08 04:40:53+00:00,27260086,justinbieber,1446334763866935353,🖤@Diane_Keaton https://t.co/I2EjB5Bqxx,,,,12309,9564,57361,
2021-10-08 04:21:40+00:00,27260086,justinbieber,1446329925867294730,COMPLETE EDITION WITH 3 ADDITIONAL TRACKS: https://t.co/J0iogVRB4S https://t.co/jcNEA3Fw80,,,,2039,8985,42109,
